Date,Close
10/1/2007,70.1
10/2/2007,70.25
10/3/2007,69.88
10/4/2007,70.09
10/5/2007,70.47
10/8/2007,70.22
10/9/2007,70.33
10/10/2007,70.59
10/11/2007,70.48
10/12/2007,70.84
10/15/2007,70.36
10/16/2007,70.35
10/17/2007,70.35
10/18/2007,70.45
10/19/2007,69.46
10/22/2007,69.95
10/23/2007,70.16
10/24/2007,69.99
10/25/2007,70.61
10/26/2007,71.15
10/29/2007,71.39
10/30/2007,70.77
10/31/2007,71.39
11/1/2007,69.88
11/2/2007,70.16
11/5/2007,70.15
11/6/2007,70.66
11/7/2007,69.66
11/8/2007,70.38
11/9/2007,69.83
11/12/2007,69.79
11/13/2007,71
11/14/2007,71.02
11/15/2007,70.79
11/16/2007,71.45
11/19/2007,70.92
11/20/2007,71.28
11/21/2007,70.46
11/27/2007,71.19
11/28/2007,72.37
11/29/2007,72.66
11/30/2007,72.75
12/3/2007,72.52
12/4/2007,72.37
12/5/2007,72.91
12/6/2007,73.52
12/7/2007,73.54
12/10/2007,73.77
12/11/2007,72.77
12/12/2007,73.16
12/13/2007,73.24
12/14/2007,71.32
12/17/2007,70.68
12/19/2007,70.98
12/20/2007,71.13
12/21/2007,72.05
12/26/2007,72.16
12/27/2007,71.45
12/28/2007,71.55
12/31/2007,70.79
1/2/2008,69.99
1/3/2008,69.62
1/4/2008,69.19
1/7/2008,70.2
1/8/2008,69.9
1/9/2008,70.47
1/10/2008,71.02
1/11/2008,69.67
1/14/2008,69.48
1/15/2008,68.52
1/16/2008,68.4
1/17/2008,67.51
1/18/2008,66.64
1/22/2008,65.93
1/23/2008,66.72
1/24/2008,66.64
1/25/2008,65.82
1/28/2008,66.54
1/29/2008,66.6
1/30/2008,65.84
1/31/2008,67.04
2/1/2008,68
2/4/2008,67.46
2/5/2008,66.47
2/6/2008,66.08
2/7/2008,66.83
2/8/2008,66.38
2/11/2008,67.03
2/12/2008,67.66
2/13/2008,67.89
2/14/2008,67.21
2/15/2008,67.49
2/19/2008,67.46
2/20/2008,67.61
2/21/2008,67.2
2/22/2008,67.68
2/25/2008,68.17
2/26/2008,68.65
2/27/2008,68.55
2/28/2008,68.22
2/29/2008,67.03
3/3/2008,67.33
3/4/2008,67.43
3/5/2008,67.67
3/6/2008,66.8
3/7/2008,66.46
3/10/2008,66.21
3/11/2008,67.35
3/12/2008,67.3
3/13/2008,67.3
3/14/2008,66.29
3/17/2008,65.97
3/18/2008,67.46
3/19/2008,67.17
3/20/2008,68.05
3/24/2008,68.95
3/25/2008,69.11
3/26/2008,68.85
3/27/2008,68.77
3/28/2008,68.69
3/31/2008,68.81
4/1/2008,69.95
4/2/2008,69.51
4/3/2008,69.54
4/4/2008,69.61
4/7/2008,69.57
4/8/2008,69.05
4/9/2008,68.78
4/10/2008,69.02
4/11/2008,68.43
4/14/2008,68.44
4/15/2008,68.8
4/16/2008,69.29
4/17/2008,68.92
4/18/2008,69.18
4/21/2008,69.26
4/22/2008,68.68
4/23/2008,69.23
4/24/2008,69.16
4/25/2008,68.88
4/28/2008,68.95
4/29/2008,69.14
4/30/2008,68.68
5/1/2008,69.26
5/5/2008,69
5/6/2008,69.26
5/7/2008,68.61
5/9/2008,68.32
5/12/2008,68.97
5/13/2008,68.9
5/14/2008,69.19
5/15/2008,69.78
5/16/2008,69.92
5/19/2008,69.81
5/20/2008,69.31
5/21/2008,68.68
5/22/2008,69.28
5/23/2008,68.97
5/27/2008,69.34
5/28/2008,69.17
5/29/2008,69.91
5/30/2008,69.85
6/2/2008,69.42
6/3/2008,69.32
6/4/2008,69.64
6/5/2008,70.37
6/6/2008,68.61
6/9/2008,68.69
6/10/2008,69.28
6/11/2008,68.63
6/12/2008,68.93
6/13/2008,68.77
6/16/2008,68.28
6/17/2008,68
6/18/2008,67.28
6/19/2008,67.5
6/20/2008,66.71
6/23/2008,66.33
6/24/2008,66.53
6/25/2008,67.28
6/26/2008,65.98
6/27/2008,65.23
6/30/2008,65.16
7/1/2008,65.41
7/2/2008,65.21
7/7/2008,65.66
7/8/2008,66.63
7/9/2008,66.29
7/10/2008,66.3
7/11/2008,65.99
7/14/2008,65.77
7/15/2008,66.11
7/16/2008,66.8
7/17/2008,66.59
7/18/2008,66.17
7/21/2008,65.92
7/22/2008,67.06
7/23/2008,67.45
7/24/2008,66.71
7/25/2008,66.62
7/28/2008,66.2
7/29/2008,67.45
7/30/2008,68.14
7/31/2008,67.23
8/1/2008,67.27
8/4/2008,67.85
8/5/2008,69.55
8/6/2008,69.78
8/7/2008,68.53
8/8/2008,69.98
8/11/2008,70.3
8/12/2008,70.68
8/13/2008,70.42
8/14/2008,70.57
8/15/2008,71.27
8/18/2008,70.52
8/19/2008,69.88
8/20/2008,69.97
8/21/2008,69.61
8/22/2008,70.39
8/25/2008,69.61
8/26/2008,69.15
8/27/2008,69.65
8/28/2008,69.87
8/29/2008,69.06
9/2/2008,69.7
9/3/2008,69.69
9/4/2008,68.85
9/5/2008,69.46
9/8/2008,70.91
9/9/2008,70.45
9/10/2008,70.56
9/11/2008,71.49
9/12/2008,71.46
9/15/2008,70.41
9/16/2008,70.31
9/17/2008,68.29
9/18/2008,69.61
9/19/2008,69.65
9/22/2008,68.01
9/23/2008,67.63
9/24/2008,67.62
9/25/2008,68.7
9/26/2008,69.14
9/29/2008,66.89
9/30/2008,67.95
10/1/2008,68.59
10/2/2008,67.69
10/3/2008,67.19
10/6/2008,64.85
10/7/2008,62.73
10/8/2008,61.61
10/9/2008,58.29
10/10/2008,57.3
10/13/2008,61.41
10/14/2008,59.98
10/15/2008,55.89
10/16/2008,58.47
10/17/2008,58.79
10/20/2008,60.36
10/21/2008,59.5
10/22/2008,57.44
10/23/2008,57.55
10/24/2008,55.42
10/27/2008,54.16
10/28/2008,58.6
10/29/2008,57.35
10/30/2008,59.28
10/31/2008,60.11
11/3/2008,60.1
11/4/2008,61.25
11/5/2008,59.43
11/6/2008,57.95
11/7/2008,59.02
11/10/2008,59.04
11/11/2008,58
11/12/2008,56.04
11/13/2008,58.71
11/14/2008,56.92
11/17/2008,56.13
11/18/2008,56.83
11/19/2008,55.05
11/20/2008,52.72
11/21/2008,55.24
11/24/2008,56.61
11/25/2008,56.65
11/26/2008,57.66
12/1/2008,55.08
12/2/2008,55.85
12/3/2008,56.73
12/4/2008,55.61
12/5/2008,57.6
12/8/2008,57.78
12/9/2008,56.45
12/10/2008,56.85
12/11/2008,56.12
12/12/2008,56.39
12/15/2008,56.22
12/16/2008,57.74
12/17/2008,57.54
12/18/2008,57.64
12/19/2008,57.56
12/22/2008,56.18
12/23/2008,55.77
12/24/2008,56.16
12/26/2008,56.35
12/29/2008,56.08
12/30/2008,57.08
12/31/2008,57.85
1/2/2009,58.66
1/5/2009,58.57
1/6/2009,58.06
1/7/2009,57.37
1/8/2009,56.74
1/9/2009,55.96
1/12/2009,55.64
1/13/2009,55.94
1/14/2009,54.67
1/15/2009,54.89
1/16/2009,55.6
1/20/2009,54.61
1/21/2009,55.04
1/22/2009,54.87
1/23/2009,54.42
1/26/2009,54.77
1/27/2009,55.05
1/28/2009,55.76
1/29/2009,55.22
1/30/2009,53.45
2/2/2009,53.24
2/3/2009,54.33
2/4/2009,53.06
2/5/2009,53.81
2/6/2009,54.77
2/9/2009,54.15
2/10/2009,52.45
2/11/2009,52.75
2/12/2009,53.43
2/13/2009,52.7
2/17/2009,51.69
2/18/2009,51.91
2/19/2009,52.4
2/20/2009,51.62
2/23/2009,50.3
2/24/2009,51.19
2/25/2009,50.77
2/26/2009,49.49
2/27/2009,49.53
