Date,Close
1/3/2006,26.15
1/4/2006,26.12
1/5/2006,26.21
1/6/2006,26.37
1/9/2006,26.44
1/10/2006,26.46
1/11/2006,26.61
1/12/2006,26.42
1/13/2006,26.41
1/17/2006,26.13
1/18/2006,26.12
1/19/2006,25.98
1/20/2006,25.43
1/23/2006,25.5
1/24/2006,25.61
1/25/2006,25.66
1/26/2006,26.1
1/27/2006,26.12
1/30/2006,26.04
1/31/2006,25.95
2/1/2006,25.93
2/2/2006,25.75
2/3/2006,25.64
2/6/2006,25.72
2/7/2006,25.55
2/8/2006,25.71
2/9/2006,25.77
2/10/2006,25.92
2/13/2006,25.82
2/14/2006,26.13
2/15/2006,26.29
2/16/2006,26.44
2/17/2006,26.33
2/21/2006,26.25
2/22/2006,26.75
2/23/2006,26.65
2/24/2006,26.71
2/27/2006,26.76
2/28/2006,26.5
3/1/2006,26.64
3/2/2006,26.47
3/3/2006,26.41
3/6/2006,26.33
3/7/2006,26.42
3/8/2006,26.43
3/9/2006,26.27
3/10/2006,26.51
3/13/2006,26.51
3/14/2006,26.82
3/15/2006,26.85
3/16/2006,26.94
3/17/2006,21.83
3/20/2006,26.9
3/21/2006,26.63
3/22/2006,26.84
3/23/2006,26.71
3/24/2006,26.7
3/27/2006,26.68
3/28/2006,26.46
3/29/2006,26.59
3/30/2006,26.42
3/31/2006,26.43
4/3/2006,26.47
4/4/2006,26.76
4/5/2006,26.81
4/6/2006,26.71
4/7/2006,26.46
4/10/2006,26.51
4/11/2006,26.28
4/12/2006,26.33
4/13/2006,26.38
4/17/2006,26.35
4/18/2006,26.84
4/19/2006,26.87
4/20/2006,26.93
4/21/2006,26.9
4/24/2006,26.9
4/25/2006,26.74
4/26/2006,26.9
4/27/2006,27.32
4/28/2006,27.58
5/1/2006,27.15
5/2/2006,27.32
5/3/2006,27.29
5/4/2006,27.35
5/5/2006,27.74
5/8/2006,27.63
5/9/2006,27.67
5/10/2006,27.69
5/11/2006,27.24
5/12/2006,26.96
5/15/2006,27.15
5/16/2006,27.11
5/17/2006,26.57
5/18/2006,26.33
5/19/2006,26.47
5/22/2006,26.41
5/23/2006,26.28
5/24/2006,26.29
5/25/2006,26.53
5/26/2006,26.75
5/30/2006,26.35
5/31/2006,26.54
6/1/2006,26.85
6/2/2006,27
6/5/2006,26.56
6/6/2006,26.5
6/7/2006,26.59
6/8/2006,26.64
6/9/2006,26.55
6/12/2006,26.25
