Date,Close
1/3/2017,8/12/1900
1/4/2017,8/13/1900
1/5/2017,8/13/1900
1/6/2017,8/14/1900
1/9/2017,8/13/1900
1/10/2017,8/13/1900
1/11/2017,8/14/1900
1/12/2017,8/13/1900
1/13/2017,8/14/1900
1/17/2017,8/13/1900
1/18/2017,8/13/1900
1/19/2017,8/12/1900
1/20/2017,8/13/1900
1/23/2017,8/13/1900
1/24/2017,8/14/1900
1/25/2017,8/16/1900
1/26/2017,8/16/1900
1/27/2017,8/15/1900
1/30/2017,8/14/1900
1/31/2017,8/14/1900
2/1/2017,8/14/1900
2/2/2017,8/14/1900
2/3/2017,8/16/1900
2/6/2017,8/15/1900
2/7/2017,8/15/1900
2/8/2017,8/16/1900
2/9/2017,8/17/1900
2/10/2017,8/18/1900
2/13/2017,8/19/1900
2/14/2017,8/20/1900
2/15/2017,8/21/1900
2/16/2017,8/21/1900
2/17/2017,8/22/1900
2/21/2017,8/23/1900
2/22/2017,8/23/1900
2/23/2017,8/23/1900
2/24/2017,8/23/1900
2/27/2017,8/24/1900
2/28/2017,8/23/1900
3/1/2017,8/26/1900
3/2/2017,8/25/1900
3/3/2017,8/25/1900
3/6/2017,8/24/1900
3/7/2017,8/24/1900
3/8/2017,8/23/1900
3/9/2017,8/23/1900
3/10/2017,8/24/1900
3/13/2017,8/24/1900
3/14/2017,8/23/1900
3/15/2017,8/25/1900
3/16/2017,8/25/1900
3/17/2017,8/24/1900
3/20/2017,8/23/1900
3/21/2017,8/20/1900
3/22/2017,8/21/1900
3/23/2017,8/21/1900
3/24/2017,8/20/1900
3/27/2017,8/20/1900
3/28/2017,8/22/1900
3/29/2017,8/22/1900
3/30/2017,8/23/1900
3/31/2017,8/22/1900
4/3/2017,8/22/1900
4/4/2017,8/22/1900
4/5/2017,8/21/1900
4/6/2017,8/22/1900
4/7/2017,8/22/1900
4/10/2017,8/22/1900
4/11/2017,8/22/1900
4/12/2017,8/21/1900
4/13/2017,8/19/1900
4/17/2017,8/21/1900
4/18/2017,8/20/1900
4/19/2017,8/20/1900
4/20/2017,8/22/1900
4/21/2017,8/21/1900
4/24/2017,8/24/1900
4/25/2017,8/25/1900
4/26/2017,8/25/1900
4/27/2017,8/25/1900
4/28/2017,8/25/1900
5/1/2017,8/25/1900
5/2/2017,8/25/1900
5/3/2017,8/25/1900
5/4/2017,8/25/1900
5/5/2017,8/26/1900
5/8/2017,8/26/1900
5/9/2017,8/26/1900
5/10/2017,8/26/1900
5/11/2017,8/26/1900
5/12/2017,8/25/1900
5/15/2017,8/27/1900
5/16/2017,8/27/1900
5/17/2017,8/22/1900
5/18/2017,8/23/1900
5/19/2017,8/25/1900
5/22/2017,8/26/1900
5/23/2017,8/27/1900
5/24/2017,8/27/1900
5/25/2017,8/28/1900
5/26/2017,8/28/1900
5/30/2017,8/28/1900
5/31/2017,8/28/1900
6/1/2017,8/30/1900
6/2/2017,8/31/1900
6/5/2017,8/30/1900
6/6/2017,8/30/1900
6/7/2017,8/30/1900
6/8/2017,8/30/1900
6/9/2017,8/30/1900
6/12/2017,8/30/1900
6/13/2017,8/31/1900
6/14/2017,8/31/1900
6/15/2017,8/30/1900
6/16/2017,8/29/1900
6/19/2017,8/31/1900
6/20/2017,8/30/1900
6/21/2017,8/29/1900
6/22/2017,8/29/1900
6/23/2017,8/30/1900
6/26/2017,8/30/1900
6/27/2017,8/28/1900
6/28/2017,8/30/1900
6/29/2017,8/28/1900
6/30/2017,8/28/1900
7/3/2017,8/29/1900
7/5/2017,8/29/1900
7/6/2017,8/27/1900
7/7/2017,8/29/1900
7/10/2017,8/29/1900
7/11/2017,8/29/1900
7/12/2017,8/31/1900
7/13/2017,8/31/1900
7/14/2017,9/1/1900
7/17/2017,9/1/1900
7/18/2017,9/1/1900
7/19/2017,9/2/1900
7/20/2017,9/3/1900
7/21/2017,9/2/1900
7/24/2017,9/2/1900
7/25/2017,9/3/1900
7/26/2017,9/3/1900
7/27/2017,9/3/1900
7/28/2017,9/2/1900
7/31/2017,9/2/1900
8/1/2017,9/3/1900
8/2/2017,9/3/1900
8/3/2017,9/2/1900
8/4/2017,9/3/1900
8/7/2017,9/3/1900
8/8/2017,9/3/1900
8/9/2017,9/3/1900
8/10/2017,8/30/1900
8/11/2017,8/31/1900
8/14/2017,9/2/1900
8/15/2017,9/2/1900
8/16/2017,9/2/1900
8/17/2017,8/30/1900
8/18/2017,8/29/1900
8/21/2017,8/29/1900
8/22/2017,9/1/1900
8/23/2017,8/31/1900
8/24/2017,8/30/1900
8/25/2017,8/31/1900
8/28/2017,8/31/1900
8/29/2017,8/31/1900
8/30/2017,9/2/1900
8/31/2017,9/3/1900
9/1/2017,9/3/1900
9/5/2017,9/2/1900
9/6/2017,9/2/1900
9/7/2017,9/2/1900
9/8/2017,9/2/1900
9/11/2017,9/5/1900
9/12/2017,9/6/1900
9/13/2017,9/6/1900
9/14/2017,9/6/1900
9/15/2017,9/5/1900
9/18/2017,9/5/1900
9/19/2017,9/5/1900
9/20/2017,9/6/1900
9/21/2017,9/5/1900
9/22/2017,9/5/1900
9/25/2017,9/4/1900
9/26/2017,9/5/1900
9/27/2017,9/6/1900
9/28/2017,9/6/1900
9/29/2017,9/7/1900
10/2/2017,9/8/1900
10/3/2017,9/8/1900
10/4/2017,9/9/1900
10/5/2017,9/10/1900
10/6/2017,9/10/1900
10/9/2017,9/9/1900
10/10/2017,9/10/1900
10/11/2017,9/11/1900
10/12/2017,9/10/1900
10/13/2017,9/10/1900
10/16/2017,9/11/1900
10/17/2017,9/11/1900
10/18/2017,9/11/1900
10/19/2017,9/11/1900
10/20/2017,9/13/1900
10/23/2017,9/12/1900
10/24/2017,9/12/1900
10/25/2017,9/11/1900
10/26/2017,9/11/1900
10/27/2017,9/13/1900
10/30/2017,9/12/1900
10/31/2017,9/13/1900
11/1/2017,9/13/1900
11/2/2017,9/13/1900
11/3/2017,9/14/1900
11/6/2017,9/14/1900
11/7/2017,9/14/1900
11/8/2017,9/15/1900
11/9/2017,9/14/1900
11/10/2017,9/14/1900
11/13/2017,9/14/1900
11/14/2017,9/13/1900
11/15/2017,9/12/1900
11/16/2017,9/14/1900
11/17/2017,9/13/1900
11/20/2017,9/14/1900
11/21/2017,9/15/1900
11/22/2017,9/15/1900
11/24/2017,9/16/1900
11/27/2017,9/16/1900
11/28/2017,9/18/1900
11/29/2017,9/18/1900
11/30/2017,9/21/1900
12/1/2017,9/20/1900
12/4/2017,9/20/1900
12/5/2017,9/19/1900
12/6/2017,9/19/1900
12/7/2017,9/20/1900
12/8/2017,9/21/1900
12/11/2017,9/22/1900
12/12/2017,9/22/1900
12/13/2017,9/22/1900
12/14/2017,9/21/1900
12/15/2017,9/22/1900
12/18/2017,9/24/1900
12/19/2017,9/23/1900
12/20/2017,9/23/1900
12/21/2017,9/23/1900
12/22/2017,9/23/1900
12/26/2017,9/23/1900
12/27/2017,9/23/1900
12/28/2017,9/23/1900
12/29/2017,9/22/1900
1/2/2018,9/24/1900
1/3/2018,9/26/1900
1/4/2018,9/27/1900
1/5/2018,9/29/1900
1/8/2018,9/29/1900
1/9/2018,9/30/1900
1/10/2018,9/30/1900
1/11/2018,10/2/1900
1/12/2018,10/3/1900
1/16/2018,10/2/1900
1/17/2018,10/5/1900
1/18/2018,10/5/1900
1/19/2018,10/6/1900
1/22/2018,10/8/1900
1/23/2018,10/9/1900
1/24/2018,10/9/1900
1/25/2018,10/9/1900
1/26/2018,10/12/1900
1/29/2018,10/10/1900
1/30/2018,10/7/1900
1/31/2018,10/7/1900
2/1/2018,10/7/1900
2/2/2018,10/1/1900
2/5/2018,9/19/1900
2/6/2018,9/25/1900
2/7/2018,9/23/1900
2/8/2018,9/13/1900
2/9/2018,9/17/1900
2/12/2018,9/21/1900
2/13/2018,9/22/1900
2/14/2018,9/25/1900
2/15/2018,9/29/1900
2/16/2018,9/29/1900
2/20/2018,9/27/1900
2/21/2018,9/26/1900
2/22/2018,9/26/1900
2/23/2018,9/30/1900
2/26/2018,10/3/1900
2/27/2018,9/30/1900
2/28/2018,9/27/1900
3/1/2018,9/23/1900
3/2/2018,9/25/1900
3/5/2018,9/28/1900
3/6/2018,9/28/1900
3/7/2018,9/28/1900
3/8/2018,9/30/1900
3/9/2018,10/4/1900
3/12/2018,10/4/1900
3/13/2018,10/2/1900
3/14/2018,10/1/1900
3/15/2018,10/1/1900
3/16/2018,9/30/1900
3/19/2018,9/26/1900
3/20/2018,9/26/1900
3/21/2018,9/26/1900
3/22/2018,9/19/1900
3/23/2018,9/14/1900
3/26/2018,9/21/1900
3/27/2018,9/16/1900
3/28/2018,9/15/1900
3/29/2018,9/19/1900
4/2/2018,9/13/1900
4/3/2018,9/16/1900
4/4/2018,9/19/1900
4/5/2018,9/21/1900
4/6/2018,9/15/1900
4/9/2018,9/17/1900
4/10/2018,9/21/1900
4/11/2018,9/19/1900
4/12/2018,9/21/1900
4/13/2018,9/21/1900
4/16/2018,9/23/1900
4/17/2018,9/26/1900
4/18/2018,9/26/1900
4/19/2018,9/24/1900
4/20/2018,9/22/1900
4/23/2018,9/22/1900
4/24/2018,9/18/1900
4/25/2018,9/19/1900
4/26/2018,9/22/1900
4/27/2018,9/22/1900
4/30/2018,9/20/1900
5/1/2018,9/20/1900
5/2/2018,9/19/1900
5/3/2018,9/18/1900
5/4/2018,9/22/1900
5/7/2018,9/22/1900
5/8/2018,9/22/1900
5/9/2018,9/25/1900
5/10/2018,9/28/1900
5/11/2018,9/28/1900
5/14/2018,9/28/1900
5/15/2018,9/27/1900
5/16/2018,9/28/1900
5/17/2018,9/28/1900
5/18/2018,9/27/1900
5/21/2018,9/29/1900
5/22/2018,9/28/1900
5/23/2018,9/29/1900
5/24/2018,9/28/1900
5/25/2018,9/28/1900
5/29/2018,9/25/1900
5/30/2018,9/28/1900
5/31/2018,9/28/1900
6/1/2018,9/29/1900
6/4/2018,9/30/1900
6/5/2018,10/1/1900
6/6/2018,10/3/1900
6/7/2018,10/3/1900
6/8/2018,10/4/1900
6/11/2018,10/4/1900
6/12/2018,10/4/1900
6/13/2018,10/4/1900
6/14/2018,10/4/1900
6/15/2018,10/3/1900
6/18/2018,10/2/1900
6/19/2018,10/1/1900
6/20/2018,10/1/1900
6/21/2018,9/30/1900
6/22/2018,9/30/1900
6/25/2018,9/27/1900
6/26/2018,9/27/1900
6/27/2018,9/27/1900
6/28/2018,9/26/1900
6/29/2018,9/27/1900
7/2/2018,9/27/1900
7/3/2018,9/26/1900
7/5/2018,9/29/1900
7/6/2018,10/1/1900
7/9/2018,10/3/1900
7/10/2018,10/4/1900
7/11/2018,10/2/1900
7/12/2018,10/5/1900
7/13/2018,10/5/1900
7/16/2018,10/5/1900
7/17/2018,10/6/1900
7/18/2018,10/7/1900
7/19/2018,10/6/1900
7/20/2018,10/5/1900
7/23/2018,10/6/1900
7/24/2018,10/7/1900
7/25/2018,10/10/1900
7/26/2018,10/9/1900
7/27/2018,10/7/1900
7/30/2018,10/5/1900
7/31/2018,10/7/1900
8/1/2018,10/6/1900
8/2/2018,10/8/1900
8/3/2018,10/9/1900
8/6/2018,10/10/1900
8/7/2018,10/11/1900
8/8/2018,10/11/1900
8/9/2018,10/11/1900
8/10/2018,10/9/1900
8/13/2018,10/8/1900
8/14/2018,10/9/1900
8/15/2018,10/7/1900
8/16/2018,10/10/1900
8/17/2018,10/11/1900
8/20/2018,10/11/1900
8/21/2018,10/12/1900
8/22/2018,10/12/1900
8/23/2018,10/11/1900
8/24/2018,10/13/1900
8/27/2018,10/15/1900
8/28/2018,10/15/1900
8/29/2018,10/17/1900
8/30/2018,10/16/1900
8/31/2018,10/16/1900
9/4/2018,10/15/1900
9/5/2018,10/15/1900
9/6/2018,10/14/1900
9/7/2018,10/13/1900
9/10/2018,10/14/1900
9/11/2018,10/15/1900
9/12/2018,10/15/1900
9/13/2018,10/16/1900
9/14/2018,10/16/1900
9/17/2018,10/15/1900
9/18/2018,10/16/1900
9/19/2018,10/17/1900
9/20/2018,10/19/1900
9/21/2018,10/17/1900
9/24/2018,10/17/1900
9/25/2018,10/16/1900
9/26/2018,10/15/1900
9/27/2018,10/16/1900
9/28/2018,10/16/1900
10/1/2018,10/17/1900
10/2/2018,10/17/1900
10/3/2018,10/17/1900
10/4/2018,10/15/1900
10/5/2018,10/13/1900
10/8/2018,10/13/1900
10/9/2018,10/13/1900
10/10/2018,10/4/1900
10/11/2018,9/28/1900
10/12/2018,10/1/1900
10/15/2018,9/30/1900
10/16/2018,10/6/1900
10/17/2018,10/6/1900
10/18/2018,10/2/1900
10/19/2018,10/2/1900
10/22/2018,10/1/1900
10/23/2018,9/29/1900
10/24/2018,9/21/1900
10/25/2018,9/26/1900
10/26/2018,9/21/1900
10/29/2018,9/19/1900
10/30/2018,9/23/1900
10/31/2018,9/26/1900
11/1/2018,9/29/1900
11/2/2018,9/27/1900
11/5/2018,9/29/1900
11/6/2018,10/1/1900
11/7/2018,10/7/1900
11/8/2018,10/6/1900
11/9/2018,10/3/1900
11/12/2018,9/28/1900
11/13/2018,9/28/1900
11/14/2018,9/26/1900
11/15/2018,9/29/1900
11/16/2018,9/29/1900
11/19/2018,9/25/1900
11/20/2018,9/20/1900
11/21/2018,9/21/1900
11/23/2018,9/19/1900
11/26/2018,9/23/1900
11/27/2018,9/24/1900
11/28/2018,9/30/1900
11/29/2018,9/29/1900
11/30/2018,10/1/1900
12/3/2018,10/5/1900
12/4/2018,9/26/1900
12/6/2018,9/25/1900
12/7/2018,9/19/1900
12/10/2018,9/20/1900
12/11/2018,9/20/1900
12/12/2018,9/21/1900
12/13/2018,9/21/1900
12/14/2018,9/16/1900
12/17/2018,9/11/1900
12/18/2018,9/11/1900
12/19/2018,9/7/1900
12/20/2018,9/3/1900
12/21/2018,8/27/1900
12/24/2018,8/21/1900
12/26/2018,9/2/1900
12/27/2018,9/4/1900
12/28/2018,9/3/1900
12/31/2018,9/5/1900
1/2/2019,9/6/1900
1/3/2019,8/31/1900
1/4/2019,9/8/1900
1/7/2019,9/10/1900
1/8/2019,9/12/1900
1/9/2019,9/13/1900
1/10/2019,9/14/1900
1/11/2019,9/14/1900
1/14/2019,9/13/1900
1/15/2019,9/16/1900
1/16/2019,9/16/1900
1/17/2019,9/18/1900
1/18/2019,9/22/1900
1/22/2019,9/18/1900
1/23/2019,9/19/1900
1/24/2019,9/19/1900
1/25/2019,9/21/1900
1/28/2019,9/19/1900
1/29/2019,9/19/1900
1/30/2019,9/23/1900
1/31/2019,9/25/1900
2/1/2019,9/26/1900
2/4/2019,9/27/1900
2/5/2019,9/29/1900
