Date,Close
10/1/2007,89.31
10/2/2007,89.01
10/3/2007,87.93
10/4/2007,88.08
10/5/2007,89.65
10/8/2007,89.24
10/9/2007,90.83
10/10/2007,90.47
10/11/2007,89.97
10/12/2007,90.86
10/15/2007,90.37
10/16/2007,88.99
10/17/2007,89
10/18/2007,90
10/19/2007,87.78
10/22/2007,87.61
10/23/2007,88.8
10/24/2007,89.12
10/25/2007,89.58
10/26/2007,90.93
10/29/2007,91.57
10/30/2007,90
10/31/2007,91.87
11/1/2007,88.93
11/2/2007,89.36
11/5/2007,88.64
11/6/2007,90.67
11/7/2007,87.94
11/8/2007,88.8
11/9/2007,87.37
11/12/2007,84.04
11/13/2007,85.83
11/14/2007,86.35
11/15/2007,84.51
11/16/2007,84.52
11/19/2007,81.81
11/20/2007,82.78
11/21/2007,81.5
11/27/2007,82.36
11/28/2007,86
11/29/2007,86.59
11/30/2007,87.61
12/3/2007,87.24
12/4/2007,86.69
12/5/2007,88.22
12/6/2007,89.96
12/7/2007,90.75
12/10/2007,91.9
12/11/2007,88.47
12/12/2007,89.45
12/13/2007,89.92
12/14/2007,87
12/17/2007,84.54
12/19/2007,84.98
12/20/2007,86.52
12/21/2007,88.68
12/26/2007,90.03
12/27/2007,88.83
12/28/2007,88.65
12/31/2007,87.94
1/2/2008,87.18
1/3/2008,87.97
1/4/2008,85.43
1/7/2008,84.26
1/8/2008,82.64
1/9/2008,82.95
1/10/2008,84.51
1/11/2008,83.76
1/14/2008,86.43
1/15/2008,83.85
1/16/2008,81.26
1/17/2008,76.88
1/18/2008,77.82
1/22/2008,76.9
1/23/2008,78.01
1/24/2008,80.36
1/25/2008,80.35
1/28/2008,81.86
1/29/2008,82.69
1/30/2008,82.12
1/31/2008,83.78
2/1/2008,85.82
2/4/2008,84.88
2/5/2008,82.01
2/6/2008,81.43
2/7/2008,81.56
2/8/2008,83.05
2/11/2008,84.67
2/12/2008,84.6
2/13/2008,85.79
2/14/2008,85.32
2/15/2008,85.23
2/19/2008,86.9
2/20/2008,87.82
2/21/2008,86.52
2/22/2008,87.12
2/25/2008,89.52
2/26/2008,89.61
2/27/2008,89.7
2/28/2008,89.32
2/29/2008,86.61
3/3/2008,87.25
3/4/2008,85.68
3/5/2008,87.76
3/6/2008,86.35
3/7/2008,83.44
3/10/2008,80.59
3/11/2008,85.23
3/12/2008,84.95
3/13/2008,86.72
3/14/2008,85.68
3/17/2008,83.68
3/18/2008,86.69
3/19/2008,81.79
3/20/2008,81.55
3/24/2008,84.19
3/25/2008,86.25
3/26/2008,86.36
3/27/2008,85.49
3/28/2008,85.28
3/31/2008,84.94
4/1/2008,87.3
4/2/2008,87.98
4/3/2008,89.41
4/4/2008,90.8
4/7/2008,90.49
4/8/2008,91.08
4/9/2008,90.19
4/10/2008,90.52
4/11/2008,89.3
4/14/2008,89.07
4/15/2008,89.62
4/16/2008,93.52
4/17/2008,93.3
4/18/2008,94.57
4/21/2008,94.71
4/22/2008,93.31
4/23/2008,91.98
4/24/2008,90.65
4/25/2008,93.15
4/28/2008,92.3
4/29/2008,89.53
4/30/2008,89.98
5/1/2008,89.57
5/5/2008,91.82
5/6/2008,93
5/7/2008,91.67
5/9/2008,92.52
5/12/2008,94.06
5/13/2008,94.47
5/14/2008,94.88
5/15/2008,96.05
5/16/2008,97.41
5/19/2008,96.92
5/20/2008,97.31
5/21/2008,94.65
5/22/2008,94.37
5/23/2008,93.04
5/27/2008,92.68
5/28/2008,95.3
5/29/2008,94.34
5/30/2008,95.2
6/2/2008,94.68
6/3/2008,94.74
6/4/2008,94.16
6/5/2008,97.4
6/6/2008,95.2
6/9/2008,96.1
6/10/2008,95.16
6/11/2008,93.6
6/12/2008,93.41
6/13/2008,95.75
6/16/2008,95.89
6/17/2008,96.42
6/18/2008,95.85
6/19/2008,95.73
6/20/2008,94.18
6/23/2008,94.86
6/24/2008,92.6
6/25/2008,92.87
6/26/2008,89.89
6/27/2008,90.41
6/30/2008,90.01
7/1/2008,89.06
7/2/2008,83.97
7/7/2008,84.22
7/8/2008,84.27
7/9/2008,84.1
7/10/2008,86.12
7/11/2008,85.72
7/14/2008,85.96
7/15/2008,84.66
7/16/2008,85.77
7/17/2008,85.5
7/18/2008,84.93
7/21/2008,87.25
7/22/2008,86.58
7/23/2008,84.88
7/24/2008,82.81
7/25/2008,84.02
7/28/2008,83.52
7/29/2008,85.43
7/30/2008,88.13
7/31/2008,86.63
8/1/2008,84.75
8/4/2008,81.33
8/5/2008,82.21
8/6/2008,83.36
8/7/2008,82.21
8/8/2008,82.49
8/11/2008,82.02
8/12/2008,82.51
8/13/2008,84.43
8/14/2008,83.95
8/15/2008,83.1
8/18/2008,82.65
8/19/2008,82.32
8/20/2008,83.5
8/21/2008,84.44
8/22/2008,84.37
8/25/2008,82.18
8/26/2008,82.91
8/27/2008,83.98
8/28/2008,85.27
8/29/2008,84.29
9/2/2008,81.61
9/3/2008,81.51
9/4/2008,78.21
9/5/2008,79.3
9/8/2008,78.75
9/9/2008,74.79
9/10/2008,76.19
9/11/2008,77.7
9/12/2008,80.25
9/15/2008,75.88
9/16/2008,77.5
9/17/2008,74.28
9/18/2008,75.98
9/19/2008,80.38
9/22/2008,78.34
9/23/2008,75.53
9/24/2008,74.85
9/25/2008,74.75
9/26/2008,72.77
9/29/2008,66.33
9/30/2008,68.31
10/1/2008,67.19
10/2/2008,61.23
10/3/2008,60.6
10/6/2008,58.02
10/7/2008,54.39
10/8/2008,55.74
10/9/2008,52.42
10/10/2008,52.18
10/13/2008,57.7
10/14/2008,56.16
10/15/2008,49.25
10/16/2008,51.32
10/17/2008,51.21
10/20/2008,55.07
10/21/2008,52.28
10/22/2008,48.09
10/23/2008,47.08
10/24/2008,45.36
10/27/2008,43.08
10/28/2008,47.77
10/29/2008,49.71
10/30/2008,51.62
10/31/2008,52.27
11/3/2008,51.89
11/4/2008,54.6
11/5/2008,51.27
11/6/2008,48.35
11/7/2008,50.03
11/10/2008,49.81
11/11/2008,47.53
11/12/2008,44.5
11/13/2008,48.26
11/14/2008,45.21
11/17/2008,44.36
11/18/2008,43.88
11/19/2008,40.58
11/20/2008,37
11/21/2008,39.79
11/24/2008,42.01
11/25/2008,43.87
11/26/2008,45.98
12/1/2008,41.38
12/2/2008,43.48
12/3/2008,43.54
12/4/2008,42.43
12/5/2008,43.67
12/8/2008,46.98
12/9/2008,46.61
12/10/2008,48.14
12/11/2008,45.86
12/12/2008,46.54
12/15/2008,46.07
12/16/2008,48.83
12/17/2008,49.12
12/18/2008,47.05
12/19/2008,46.49
12/22/2008,43.28
12/23/2008,43.08
12/24/2008,43.05
12/26/2008,43.85
12/29/2008,43.24
12/30/2008,44.52
12/31/2008,45.4
1/2/2009,47.11
1/5/2009,47.24
1/6/2009,48.17
1/7/2009,47.25
1/8/2009,47.66
1/9/2009,46.45
1/12/2009,44.56
1/13/2009,44.68
1/14/2009,42.8
1/15/2009,43.96
1/16/2009,44.63
1/20/2009,41.97
1/21/2009,43.73
1/22/2009,42.9
1/23/2009,43.65
1/26/2009,43.17
1/27/2009,43.53
1/28/2009,44.9
1/29/2009,43.67
1/30/2009,42.05
2/2/2009,41.48
2/3/2009,42.3
2/4/2009,42.98
2/5/2009,43.98
2/6/2009,45.43
2/9/2009,45.34
2/10/2009,43.35
2/11/2009,43.36
2/12/2009,43.81
2/13/2009,43.27
2/17/2009,41.13
2/18/2009,40.93
2/19/2009,40.44
2/20/2009,40.63
2/23/2009,38.11
2/24/2009,39.49
2/25/2009,38.83
2/26/2009,38.6
2/27/2009,38.39
