Date,Close
1/2/2014,37.39
1/3/2014,37.27
1/6/2014,37.33
1/7/2014,37.66
1/8/2014,37.46
1/9/2014,37.68
1/10/2014,38.22
1/13/2014,37.83
1/14/2014,37.88
1/15/2014,37.81
1/16/2014,38.07
1/17/2014,38.06
1/21/2014,38.48
1/22/2014,38.52
1/23/2014,38.41
1/24/2014,37.98
1/27/2014,38.07
1/28/2014,38.21
1/29/2014,38.19
1/30/2014,38.78
1/31/2014,39.1
2/3/2014,38.79
2/4/2014,38.56
2/5/2014,38.39
2/6/2014,38.67
2/7/2014,38.88
2/10/2014,39.17
2/11/2014,39.54
2/12/2014,39.59
2/13/2014,40.02
2/14/2014,40.28
2/18/2014,40.42
2/19/2014,40.19
2/20/2014,40.5
2/21/2014,40.55
2/24/2014,40.45
2/25/2014,40.4
2/26/2014,40.27
2/27/2014,40.17
2/28/2014,40.45
3/3/2014,40.05
3/4/2014,40.34
3/5/2014,40.07
3/6/2014,39.87
3/7/2014,39.99
3/10/2014,39.89
3/11/2014,39.78
3/12/2014,40.28
3/13/2014,40.7
3/14/2014,40.89
3/17/2014,41.16
3/18/2014,41.1
3/19/2014,40.45
3/20/2014,40.54
3/21/2014,40.51
3/24/2014,40.62
3/25/2014,40.79
3/26/2014,40.62
3/27/2014,40.95
3/28/2014,41.01
3/31/2014,41.46
4/1/2014,41.17
4/2/2014,41.11
4/3/2014,41.24
4/4/2014,41.46
4/7/2014,41.39
4/8/2014,41.98
4/9/2014,41.89
4/10/2014,41.73
4/11/2014,41.69
4/14/2014,41.94
4/15/2014,42.52
4/16/2014,42.83
4/17/2014,42.3
4/21/2014,42.25
4/22/2014,42.31
4/23/2014,42.33
4/24/2014,42.62
4/25/2014,43.11
4/28/2014,43.32
4/29/2014,43.14
4/30/2014,43.21
5/1/2014,43.39
5/2/2014,42.5
5/5/2014,42.88
5/6/2014,42.67
5/7/2014,43.36
5/8/2014,42.89
5/9/2014,42.26
5/12/2014,41.87
5/13/2014,41.97
5/14/2014,42.18
5/15/2014,42.01
5/16/2014,42.14
5/19/2014,41.49
5/20/2014,41.49
5/21/2014,41.52
5/22/2014,41.86
5/23/2014,41.76
5/27/2014,42.09
5/28/2014,42.34
5/29/2014,42.46
5/30/2014,42.74
6/2/2014,42.73
6/3/2014,42.89
6/4/2014,42.87
6/5/2014,43.23
6/6/2014,43.08
6/9/2014,42.79
6/10/2014,42.69
6/11/2014,42.15
6/12/2014,42.28
6/13/2014,42.55
6/16/2014,42.84
6/17/2014,42.78
6/18/2014,43.75
6/19/2014,44.11
6/20/2014,43.47
6/23/2014,43.32
6/24/2014,43.45
6/25/2014,43.61
6/26/2014,43.74
6/27/2014,43.91
6/30/2014,44.26
7/1/2014,43.82
7/2/2014,42.97
7/3/2014,42.5
7/7/2014,42.7
7/8/2014,42.99
7/9/2014,42.87
7/10/2014,43.16
7/11/2014,42.83
7/14/2014,42.34
7/15/2014,42.56
7/16/2014,42.7
7/17/2014,42.31
7/18/2014,42.74
7/21/2014,42.7
7/22/2014,42.61
7/23/2014,42.65
7/24/2014,42.78
7/25/2014,42.44
7/28/2014,43.03
7/29/2014,42.63
7/30/2014,41.91
7/31/2014,41.25
8/1/2014,41.41
8/4/2014,41.19
8/5/2014,40.69
8/6/2014,40.17
8/7/2014,40.63
8/8/2014,41.44
8/11/2014,41.29
8/12/2014,41.26
8/13/2014,41.45
8/14/2014,41.81
8/15/2014,41.97
8/18/2014,41.86
8/19/2014,42.39
8/20/2014,42.48
8/21/2014,42.58
8/22/2014,42.45
8/25/2014,42.74
8/26/2014,42.23
8/27/2014,42.69
8/28/2014,43
8/29/2014,43.28
9/2/2014,42.89
9/3/2014,43.1
9/4/2014,43.08
9/5/2014,43.62
9/8/2014,43.36
9/9/2014,42.86
9/10/2014,42.67
9/11/2014,43.03
