Date,Close
10/1/2007,27.9
10/2/2007,27.91
10/3/2007,27.84
10/4/2007,27.9
10/5/2007,28
10/8/2007,27.82
10/9/2007,27.98
10/10/2007,28.1
10/11/2007,28.17
10/12/2007,28.23
10/15/2007,28.14
10/16/2007,28.02
10/17/2007,28.12
10/18/2007,28.02
10/19/2007,27.73
10/22/2007,27.91
10/23/2007,28
10/24/2007,27.92
10/25/2007,28.15
10/26/2007,28.34
10/29/2007,28.35
10/30/2007,28.23
10/31/2007,28.41
11/1/2007,27.85
11/2/2007,28.03
11/5/2007,28.07
11/6/2007,28.26
11/7/2007,27.95
11/8/2007,28.15
11/9/2007,27.88
11/12/2007,27.9
11/13/2007,28.32
11/14/2007,28.46
11/15/2007,28.44
11/16/2007,28.57
11/19/2007,28.37
11/20/2007,28.6
11/21/2007,28.25
11/23/2007,28.54
11/26/2007,28.25
11/27/2007,28.55
11/28/2007,29
11/29/2007,29.15
11/30/2007,29.19
12/3/2007,29.08
12/4/2007,29.04
12/5/2007,29.16
12/6/2007,29.15
12/7/2007,29.46
12/10/2007,29.49
12/11/2007,29.17
12/12/2007,29.25
12/13/2007,29.38
12/14/2007,29.02
12/17/2007,28.82
12/18/2007,28.69
12/19/2007,28.93
12/20/2007,28.8
12/21/2007,29.34
12/24/2007,29.3
12/26/2007,29.2
12/27/2007,28.92
12/28/2007,29.03
12/31/2007,28.8
1/2/2008,28.39
1/3/2008,28.24
1/4/2008,28.12
1/7/2008,28.45
1/8/2008,28.24
1/9/2008,28.62
1/10/2008,28.67
1/11/2008,28.27
1/14/2008,28.15
1/15/2008,27.85
1/16/2008,27.75
1/17/2008,27.55
1/18/2008,27.15
1/22/2008,26.87
1/23/2008,27.2
1/24/2008,27.07
1/25/2008,26.7
1/28/2008,26.91
1/29/2008,26.99
1/30/2008,26.8
1/31/2008,27.2
2/1/2008,27.47
2/4/2008,27.3
2/5/2008,26.93
2/6/2008,26.82
2/7/2008,27.1
2/8/2008,26.8
2/11/2008,27.14
2/12/2008,27.5
2/13/2008,27.37
2/14/2008,27.23
2/15/2008,27.35
2/19/2008,27.79
2/20/2008,27.2
2/21/2008,27.3
2/22/2008,27.6
2/25/2008,27.64
2/26/2008,27.98
2/27/2008,27.6
2/28/2008,27.65
2/29/2008,27.13
3/3/2008,27.4
3/4/2008,27.38
3/5/2008,27.45
3/6/2008,27.2
3/7/2008,27.07
3/10/2008,26.93
3/11/2008,27.5
3/12/2008,27.43
3/13/2008,27.43
3/14/2008,26.96
3/17/2008,26.81
3/18/2008,27.3
3/19/2008,27.45
3/20/2008,27.62
3/24/2008,27.93
3/25/2008,28
3/26/2008,27.77
3/27/2008,27.91
3/28/2008,27.88
3/31/2008,27.86
4/1/2008,28.2
4/2/2008,28.21
4/3/2008,28.13
4/4/2008,28.37
4/7/2008,28.19
4/8/2008,28.18
4/9/2008,27.9
4/10/2008,27.97
4/11/2008,27.79
4/14/2008,27.78
4/15/2008,27.95
4/16/2008,28.11
4/17/2008,28.15
4/18/2008,27.96
4/21/2008,28.04
4/22/2008,27.87
4/23/2008,28.05
4/24/2008,28.09
4/25/2008,27.93
4/28/2008,28.1
4/29/2008,28.13
4/30/2008,27.65
5/1/2008,28.15
5/2/2008,28.11
5/5/2008,28.01
5/6/2008,28.19
5/7/2008,27.92
5/8/2008,28
5/9/2008,27.84
5/12/2008,28.15
5/13/2008,28.05
5/14/2008,28.16
5/15/2008,28.5
5/16/2008,28.49
5/19/2008,28.65
5/20/2008,28.22
5/21/2008,27.93
5/22/2008,28.23
5/23/2008,28.08
5/27/2008,28.16
5/28/2008,28.2
5/29/2008,28.31
5/30/2008,28.49
6/2/2008,28.24
6/3/2008,28.39
6/4/2008,28.37
6/5/2008,28.66
6/6/2008,27.95
6/9/2008,28.05
6/10/2008,28.1
6/11/2008,27.95
6/12/2008,28.14
6/13/2008,28.12
6/16/2008,27.82
6/17/2008,27.73
6/18/2008,27.42
